newsDatetime,important,liked,disliked,positive,negative,code,net_sentiment,net_engagement,year,month,quarter
2021-05-10 21:20:00,5,2,1,0,3,BTC,-3,1,2021,5,2
2021-05-11 03:08:57,3,1,0,0,0,BTC,0,1,2021,5,2
2021-05-11 08:05:13,11,18,0,26,0,BTC,26,18,2021,5,2
2021-05-11 08:56:20,7,25,8,25,12,BTC,13,17,2021,5,2
2021-05-11 09:09:40,3,6,10,15,5,BTC,10,-4,2021,5,2
2021-05-11 09:51:13,6,6,0,9,0,BTC,9,6,2021,5,2
2021-05-11 10:12:50,20,33,6,26,7,BTC,19,27,2021,5,2
2021-05-11 14:12:38,4,6,8,16,11,BTC,5,-2,2021,5,2
2021-05-12 03:59:21,6,10,3,16,4,BTC,12,7,2021,5,2
2021-05-12 12:23:59,3,4,0,4,0,BTC,4,4,2021,5,2
2021-05-13 05:32:00,10,20,7,24,1,BTC,23,13,2021,5,2
2021-05-13 16:30:01,5,6,1,6,0,BTC,6,5,2021,5,2
2021-05-13 18:33:51,7,12,2,17,0,BTC,17,10,2021,5,2
2021-05-13 19:51:24,8,7,1,7,0,BTC,7,6,2021,5,2
2021-05-13 21:05:44,41,84,1,92,2,BTC,90,83,2021,5,2
2021-05-13 22:55:21,5,13,3,16,1,BTC,15,10,2021,5,2
2021-05-14 00:08:13,4,2,1,3,2,BTC,1,1,2021,5,2
2021-05-14 06:50:00,9,20,22,19,22,BTC,-3,-2,2021,5,2
2021-05-14 07:15:21,3,4,1,8,0,BTC,8,3,2021,5,2
2021-05-14 07:50:17,5,3,9,3,9,BTC,-6,-6,2021,5,2
2021-05-14 09:21:07,3,5,5,3,0,BTC,3,0,2021,5,2
2021-05-14 10:36:21,6,14,1,14,0,BTC,14,13,2021,5,2
2021-05-14 11:46:04,29,53,9,61,6,BTC,55,44,2021,5,2
2021-05-14 12:30:08,3,5,1,6,1,BTC,5,4,2021,5,2
2021-05-14 22:05:41,3,4,0,5,0,BTC,5,4,2021,5,2
2021-05-15 10:12:04,3,4,0,3,0,BTC,3,4,2021,5,2
2021-05-15 10:23:42,14,21,73,40,34,BTC,6,-52,2021,5,2
